epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.73062,1.59254,2.93488,1.53898,0.26898,0.28236,0.13197,0.05688,2.43458,2.86819,2.9321,0.0847,0.0017,0.0017
2,13.9595,1.70363,2.07594,1.65261,0.00348,0.63333,0.00321,0.00105,3.65941,inf,22.752,0.068465,0.00346503,0.00346503
3,18.3603,1.8446,2.12637,1.80337,0.00144,0.4,0.00105,0.00041,3.41156,inf,30.4381,0.0521941,0.00519411,0.00519411
4,22.3551,1.78562,2.0014,1.75452,0.00022,0.06667,0.00012,2e-05,2.43573,inf,53.0917,0.0358872,0.00688721,0.00688721
5,26.4031,1.83894,2.09685,1.79709,0.0014,0.26667,0.00235,0.00046,3.55164,inf,15.7141,0.0195444,0.00854436,0.00854436
6,30.9521,1.80555,2.08391,1.75523,0.00316,0.16667,0.00398,0.00109,2.47198,inf,4.23163,0.0095005,0.0095005,0.0095005
7,34.8935,1.60162,1.8214,1.63992,0.05714,0.13333,0.04283,0.00972,2.10914,81.0828,3.02197,0.0094006,0.0094006,0.0094006
8,38.6539,1.66068,1.84857,1.65869,0.16788,0.23333,0.20915,0.10579,2.19179,16.262,3.02264,0.0093007,0.0093007,0.0093007
9,42.7965,1.61066,1.77624,1.6451,0.71429,0.16667,0.40468,0.21571,2.02863,23.1711,2.54039,0.0092008,0.0092008,0.0092008
10,46.8854,1.54173,1.6465,1.59158,0.27784,0.56667,0.43106,0.22575,1.91409,15.5517,2.46565,0.0091009,0.0091009,0.0091009
11,51.05,1.47149,1.59032,1.55988,0.29708,0.56667,0.26723,0.1519,1.64239,7.1355,2.00751,0.009001,0.009001,0.009001
12,55.0493,1.43933,1.51407,1.52561,0.05941,0.06667,0.0227,0.01223,2.48867,19.915,3.18179,0.0089011,0.0089011,0.0089011
13,58.9673,1.53735,1.5301,1.55432,0.45805,0.43333,0.39132,0.23589,1.75771,3.50945,2.05309,0.0088012,0.0088012,0.0088012
14,63.0608,1.40494,1.41538,1.42865,0.22125,0.23333,0.17349,0.10277,1.54716,4.5375,1.6528,0.0087013,0.0087013,0.0087013
15,66.9563,1.42048,1.374,1.44572,0.70939,0.6,0.61166,0.38089,1.47406,2.68173,1.54966,0.0086014,0.0086014,0.0086014
16,70.9233,1.23124,1.25977,1.37291,0.70478,0.66667,0.73688,0.49855,1.23494,1.737,1.31182,0.0085015,0.0085015,0.0085015
17,75.0927,1.30396,1.32148,1.38045,0.60364,0.71092,0.6118,0.40787,1.4524,2.45974,1.56002,0.0084016,0.0084016,0.0084016
18,79.1575,1.202,1.19634,1.32893,0.84314,0.66667,0.72357,0.48425,1.31094,2.4169,1.4452,0.0083017,0.0083017,0.0083017
19,83.2585,1.23167,1.1593,1.32163,0.83355,0.50082,0.69148,0.51264,1.29411,1.80484,1.32786,0.0082018,0.0082018,0.0082018
20,87.4606,1.22632,1.18112,1.35444,0.68982,0.59327,0.62067,0.4638,1.27307,2.13196,1.42803,0.0081019,0.0081019,0.0081019
21,91.3504,1.13633,1.08115,1.30315,0.74517,0.6,0.73016,0.52494,1.25991,1.6514,1.3496,0.008002,0.008002,0.008002
22,95.667,1.18494,1.15604,1.30761,0.64462,0.66513,0.61988,0.38061,1.42411,3.40355,1.47631,0.0079021,0.0079021,0.0079021
23,99.5929,1.08601,1.07224,1.24908,0.79726,0.76667,0.7893,0.60201,1.05843,1.65108,1.1356,0.0078022,0.0078022,0.0078022
24,103.63,1.10092,1.08216,1.26102,0.72018,0.85809,0.83618,0.6402,0.93435,1.43967,1.11533,0.0077023,0.0077023,0.0077023
25,107.575,1.11521,1.07453,1.26728,0.78853,0.46667,0.54759,0.31615,1.6479,2.07748,1.7149,0.0076024,0.0076024,0.0076024
26,111.538,1.14753,1.11216,1.27731,0.81787,0.66667,0.72859,0.54959,1.18467,1.39007,1.23426,0.0075025,0.0075025,0.0075025
27,115.545,1.06954,0.9846,1.22825,0.92893,0.83333,0.91014,0.70928,0.99578,1.15745,1.12331,0.0074026,0.0074026,0.0074026
28,119.543,1.07296,0.99462,1.23341,0.81618,0.8,0.82513,0.63994,1.01927,1.19252,1.09358,0.0073027,0.0073027,0.0073027
29,123.298,1.0006,0.89874,1.18781,0.99236,0.7,0.84494,0.67351,1.05759,1.06111,1.11991,0.0072028,0.0072028,0.0072028
