epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.1632,2.16498,16.7017,2.08053,0,0,0,0,nan,nan,nan,0.0847,0.0017,0.0017
2,25.2612,2.9342,9.7066,2.88809,0,0,0,0,nan,nan,nan,0.0684301,0.00343007,0.00343007
3,35.9502,2.81355,3.43311,2.90213,0,0,0,0,nan,nan,nan,0.0520882,0.00508821,0.00508821
4,46.768,2.70062,3.26126,2.87653,0,0,0,0,nan,nan,nan,0.0356744,0.00667443,0.00667443
5,57.6687,2.68217,3.21574,2.91967,0,0,0,0,nan,nan,nan,0.0191887,0.00818871,0.00818871
6,69.1449,2.63976,3.12794,2.90807,0,0,0,0,nan,nan,nan,0.009001,0.009001,0.009001
7,80.35,2.52764,3.04606,2.85248,0,0,0,0,nan,nan,nan,0.0088012,0.0088012,0.0088012
8,90.8909,2.628,3.01822,2.90366,0,0,0,0,nan,nan,nan,0.0086014,0.0086014,0.0086014
9,101.61,2.5369,2.93287,2.79242,0,0,0,0,nan,nan,nan,0.0084016,0.0084016,0.0084016
10,112.389,2.47632,2.91371,2.82536,0.00085,0.03333,0.00045,0.00014,nan,nan,nan,0.0082018,0.0082018,0.0082018
11,123.206,2.39042,2.83563,2.73467,0.01102,0.5,0.01411,0.00468,2.78432,6.27984,3.06943,0.008002,0.008002,0.008002
12,134.841,2.45234,2.79293,2.78362,0.11322,0.2,0.0971,0.03388,2.32605,3.34714,2.69307,0.0078022,0.0078022,0.0078022
13,145.761,2.41705,2.75557,2.75293,0.28739,0.26667,0.18324,0.07114,2.23912,2.9082,2.64077,0.0076024,0.0076024,0.0076024
14,157.606,2.4181,2.72873,2.69371,0.11368,0.33333,0.15959,0.06145,2.23194,4.05511,2.5777,0.0074026,0.0074026,0.0074026
15,166.834,2.36176,2.70875,2.70316,0.11915,0.03333,0.03402,0.01429,2.11262,3.87837,2.51422,0.0072028,0.0072028,0.0072028
16,175.482,2.26172,2.71284,2.65337,0.0674,0.4,0.05506,0.02445,2.44239,3.26999,3.03715,0.007003,0.007003,0.007003
17,184.165,2.29026,2.60824,2.65633,0.31764,0.43333,0.29001,0.19645,1.99366,2.52457,2.36171,0.0068032,0.0068032,0.0068032
18,196.609,2.17626,2.46901,2.59377,0.49152,0.3,0.32295,0.22451,2.13102,3.13258,2.57969,0.0066034,0.0066034,0.0066034
19,207.85,2.26437,2.55283,2.66252,0.35798,0.3,0.17926,0.0795,2.15534,3.36959,2.6036,0.0064036,0.0064036,0.0064036
20,217.27,2.20148,2.53537,2.57871,0.12632,0.16667,0.10387,0.05258,2.24128,3.33409,2.48946,0.0062038,0.0062038,0.0062038
21,226.161,2.15698,2.39616,2.59156,0.36749,0.33333,0.37052,0.22558,2.02826,2.57243,2.40102,0.006004,0.006004,0.006004
22,237.485,2.1613,2.39743,2.51963,0.1428,0.1,0.06324,0.03301,2.23737,3.25626,2.69136,0.0058042,0.0058042,0.0058042
23,247.747,2.03383,2.30795,2.46331,0.58715,0.16667,0.17925,0.12656,2.14962,3.23972,2.61119,0.0056044,0.0056044,0.0056044
24,258.199,2.05829,2.3338,2.46373,0.24233,0.4,0.16827,0.08673,2.00663,2.863,2.49573,0.0054046,0.0054046,0.0054046
25,266.804,2.09178,2.44707,2.50646,0.42097,0.43333,0.42941,0.26717,1.8973,2.94976,2.26849,0.0052048,0.0052048,0.0052048
26,277.203,2.05514,2.39547,2.47623,0.33865,0.36667,0.34037,0.18507,1.89096,2.493,2.34495,0.005005,0.005005,0.005005
27,286.04,1.95421,2.21843,2.38971,0.26067,0.23333,0.21141,0.08486,2.02662,3.46827,2.45859,0.0048052,0.0048052,0.0048052
28,298.651,1.96568,2.31071,2.42053,0.74229,0.36667,0.51202,0.29869,1.79524,2.22216,2.16034,0.0046054,0.0046054,0.0046054
29,309.061,1.97288,2.17596,2.41977,0.3633,0.46667,0.31898,0.15662,1.85833,2.60354,2.38056,0.0044056,0.0044056,0.0044056
30,318.199,1.9037,2.17089,2.42357,0.32293,0.36667,0.33615,0.22411,1.80979,2.69645,2.27766,0.0042058,0.0042058,0.0042058
31,327.61,1.93178,2.07935,2.38799,0.34691,0.31901,0.33013,0.21567,1.87997,2.76544,2.39289,0.004006,0.004006,0.004006
32,336.512,1.89977,2.06601,2.36099,0.55054,0.33333,0.27698,0.14116,1.95781,2.70671,2.44283,0.0038062,0.0038062,0.0038062
33,346.071,1.9536,2.17299,2.41211,0.28385,0.23333,0.25061,0.14346,1.87909,2.69072,2.40756,0.0036064,0.0036064,0.0036064
34,356.099,1.88726,2.07876,2.36872,0.34829,0.37428,0.27187,0.1384,1.99474,2.94265,2.51142,0.0034066,0.0034066,0.0034066
35,365.164,1.95828,2.20764,2.38221,0.53682,0.46667,0.49941,0.30983,1.8218,2.28125,2.25734,0.0032068,0.0032068,0.0032068
36,376.647,1.82841,2.08491,2.30483,0.40593,0.3419,0.34177,0.18343,1.83507,2.97115,2.30967,0.003007,0.003007,0.003007
37,385.651,1.82025,2.09109,2.30665,0.44409,0.3,0.36376,0.23456,1.81226,2.38317,2.2739,0.0028072,0.0028072,0.0028072
38,394.796,1.78824,1.88278,2.25304,0.45575,0.36667,0.45112,0.28286,1.8399,2.20201,2.34913,0.0026074,0.0026074,0.0026074
39,403.476,1.73903,1.90716,2.24119,0.42782,0.33333,0.35851,0.20474,1.92106,2.64709,2.40222,0.0024076,0.0024076,0.0024076
40,414.776,1.73989,1.78865,2.23688,0.38358,0.3,0.25421,0.14025,2.01631,3.01464,2.52988,0.0022078,0.0022078,0.0022078
41,454.513,1.6579,1.84153,2.24424,0.48739,0.3,0.33683,0.2,1.88482,2.45418,2.393,0.002008,0.002008,0.002008
42,463.653,1.5685,1.72643,2.16493,0.56068,0.51077,0.55818,0.34331,1.66841,1.9166,2.15091,0.0018082,0.0018082,0.0018082
43,474.941,1.54621,1.65596,2.15903,0.47626,0.43333,0.49985,0.28839,1.78985,2.14705,2.27864,0.0016084,0.0016084,0.0016084
44,484.943,1.56886,1.66794,2.17045,0.63798,0.5,0.5946,0.38762,1.77864,1.93865,2.29549,0.0014086,0.0014086,0.0014086
45,495.524,1.49353,1.55153,2.17291,0.57887,0.7,0.63715,0.40369,1.68868,1.69757,2.26211,0.0012088,0.0012088,0.0012088
46,506.197,1.4583,1.52691,2.13439,0.81269,0.56667,0.7562,0.46131,1.61104,1.60405,2.15849,0.001009,0.001009,0.001009
47,516.852,1.46921,1.50146,2.10322,0.81924,0.6,0.74794,0.46583,1.62742,1.5218,2.17828,0.0008092,0.0008092,0.0008092
48,533.533,1.44381,1.50546,2.11457,0.59525,0.66667,0.67195,0.40239,1.65646,1.6598,2.24027,0.0006094,0.0006094,0.0006094
49,542.045,1.44847,1.46606,2.12273,0.64509,0.73333,0.74201,0.46402,1.57069,1.53131,2.16011,0.0004096,0.0004096,0.0004096
50,550.908,1.46277,1.44204,2.10046,0.8305,0.65365,0.7869,0.48989,1.55667,1.49991,2.12563,0.0002098,0.0002098,0.0002098
